E,Rs,Rp,phiRs,phiRp
1,0.99069549,0.88374365,-176.53048,-134.73968
1.1,0.98833907,0.86051903,-176.14957,-130.16967
1.2,0.98490441,0.82846673,-175.76251,-125.64532
1.3,0.97873599,0.77471281,-175.33614,-120.74496
1.4,0.9660007,0.66969943,-175.10277,-117.9905
1.5,0.96229338,0.6392494,-175.12324,-118.40375
1.6,0.96570906,0.66699325,-175.06293,-118.14824
1.7,0.96933667,0.7020654,-174.81726,-115.77598
1.8,0.97157104,0.72701351,-174.52295,-112.87614
1.9,0.97313764,0.74641857,-174.21923,-109.93956
2,0.97424566,0.76205354,-173.90153,-106.93604
2.1,0.97472173,0.77239968,-173.5792,-103.96864
2.2,0.97537086,0.78387299,-173.25583,-101.09527
2.3,0.97557144,0.79171929,-172.92747,-98.263276
2.4,0.97589399,0.80032237,-172.59697,-95.513636
2.5,0.97602125,0.80730073,-172.26445,-92.840412
2.6,0.97624477,0.81481135,-171.92944,-90.243891
2.7,0.97634885,0.82139999,-171.5868,-87.677594
2.8,0.97653777,0.82840177,-171.24089,-85.182239
2.9,0.9764957,0.83380251,-170.88642,-82.712338
3,0.9765189,0.83950735,-170.52774,-80.307599
3.1,0.97628326,0.84347548,-170.16665,-77.975222
3.2,0.97608826,0.84764243,-169.80101,-75.703496
3.3,0.97593501,0.85198357,-169.43074,-73.491177
3.4,0.97582499,0.85647781,-169.05563,-71.336643
3.5,0.97556954,0.86010328,-168.6752,-69.233233
3.6,0.97534524,0.86383379,-168.28957,-67.184237
3.7,0.97515261,0.86765527,-167.89846,-65.187145
3.8,0.97499221,0.87155681,-167.50141,-63.23864
3.9,0.9747971,0.87526054,-167.09374,-61.313635
4,0.97463319,0.87902462,-166.67945,-59.434993
4.1,0.97411672,0.8812104,-166.25507,-57.5817
4.2,0.97360566,0.8834351,-165.8233,-55.771827
4.3,0.97309945,0.88569508,-165.38337,-54.001704
4.4,0.97259826,0.88798213,-164.93534,-52.271563
4.5,0.9721021,0.89029122,-164.4788,-50.579647
4.6,0.97161136,0.89261991,-164.01307,-48.923484
