Wavelength[nm]	Intensity[normalized]	Ret_Intensity[normalized]	Phase[rad]
450.03	0.00231303	0.48515584	2.36106703
450.49	0.00291018	0.42366725	2.42045375
450.95	0.00440582	0.30411670	2.33688637
451.41	0.00613880	0.24628468	2.44134052
451.88	0.00653358	0.21241149	2.59311270
452.34	0.00579246	0.18475651	2.70228123
452.80	0.00454196	0.16237046	2.75119058
453.26	0.00258318	0.14907711	2.70558422
453.72	0.00095781	0.14073040	2.58491711
454.18	0.00110424	0.12083656	2.50044161
454.64	0.00228911	0.08032012	2.52923093
455.10	0.00308634	0.04967529	2.56085881
455.56	0.00339157	0.06402828	2.47513389
456.02	0.00322377	0.08338257	2.46729501
456.48	0.00211564	0.07168936	2.80972999
456.94	0.00040540	0.04900751	3.26115528
457.41	0.00000000	0.04205114	3.50899874
457.87	0.00000000	0.04893504	3.55123567
458.33	0.00000000	0.04944534	3.55869339
458.79	0.00116620	0.03528264	3.60356691
459.25	0.00207204	0.01975060	3.59496582
459.71	0.00291251	0.01135361	3.40489080
460.17	0.00377302	0.00682809	3.30280396
460.63	0.00400662	0.00706882	3.70172259
461.09	0.00351633	0.01103736	4.23439099
461.55	0.00282675	0.01919739	4.32066335
462.01	0.00205641	0.02896166	3.91262085
462.47	0.00142419	0.03174521	3.57367330
462.93	0.00124293	0.01891405	3.66605908
463.39	0.00144527	0.00912614	3.79420452
463.85	0.00155476	0.02245922	3.66116924
464.31	0.00156345	0.04632932	3.46708360
464.77	0.00225097	0.07635359	3.40621906
465.23	0.00333592	0.10251276	3.46581624
465.69	0.00355331	0.10279616	3.50518656
466.15	0.00286624	0.05798164	3.44711841
466.61	0.00260553	0.01263072	3.44193966
467.07	0.00303844	0.01640198	3.73958804
467.53	0.00305254	0.03500251	4.04605634
467.99	0.00253978	0.03531297	3.94819719
468.45	0.00214561	0.01762418	3.51137925
468.91	0.00168055	0.00955047	3.26288564
469.37	0.00116928	0.03226766	3.63039056
469.83	0.00153677	0.05520543	4.07086547
470.29	0.00262782	0.05010526	4.15554006
470.75	0.00341080	0.03192163	4.05427724
471.21	0.00388814	0.01806838	3.96623717
471.67	0.00424819	0.01512535	3.96851014
472.13	0.00404410	0.01624011	4.01123369
472.59	0.00314786	0.02010120	4.12657698
473.05	0.00225382	0.02542802	4.25588929
473.51	0.00185310	0.03173346	4.33954370
473.97	0.00140479	0.03661611	4.39017930
474.43	0.00066981	0.03515068	4.46828713
474.89	0.00022452	0.02103485	4.61287422
475.35	0.00011662	0.00765938	4.77017455
475.81	0.00000000	0.00960244	4.91083653
476.27	0.00000000	0.01985483	4.99086051
476.73	0.00025479	0.02863809	4.89691125
477.19	0.00175676	0.03038487	4.56350546
477.65	0.00339993	0.02846310	4.26012113
478.11	0.00428171	0.02032422	4.36951786
478.57	0.00401644	0.01076649	4.59281500
479.03	0.00314780	0.00594125	4.55105409
479.49	0.00245839	0.00844069	4.14359738
479.95	0.00195368	0.01194928	3.85476836
480.41	0.00145079	0.00943684	4.35736747
480.87	0.00113460	0.00676613	5.07224232
481.33	0.00084865	0.01028218	5.51887371
481.79	0.00039376	0.02134006	5.49896933
482.24	0.00019766	0.03102514	5.26736220
482.70	0.00040181	0.02870992	4.87673723
483.16	0.00058416	0.02158872	4.43642029
483.62	0.00074238	0.01444506	4.09284696
484.08	0.00094773	0.00982439	3.92018750
484.54	0.00084793	0.00620758	3.82464377
485.00	0.00048877	0.00330819	3.62355073
485.46	0.00025738	0.00213641	3.58150930
485.92	0.00017600	0.00483073	4.11937073
486.38	0.00014285	0.01254357	5.46950999
486.84	0.00015444	0.01901689	6.69340394
487.30	0.00008165	0.01519325	6.65233442
487.75	0.00000000	0.00687094	5.91754455
488.21	0.00000000	0.00212620	5.24387145
488.67	0.00000000	0.00926312	5.29923853
489.13	0.00000000	0.01705018	5.42930384
489.59	0.00019249	0.01622069	5.23265542
490.05	0.00079296	0.00869956	4.79030349
490.51	0.00114403	0.00197205	4.41665700
490.97	0.00132221	0.00660758	4.57553924
491.43	0.00129746	0.01289074	4.81573473
491.88	0.00103173	0.01528519	4.90184859
492.34	0.00098737	0.01150446	4.70493155
492.80	0.00129034	0.00751799	4.40072210
493.26	0.00149964	0.00881736	4.02531057
493.72	0.00150671	0.01269535	3.61185790
494.18	0.00151299	0.01633994	3.20817374
494.64	0.00137940	0.01725062	2.88452893
495.10	0.00098350	0.01686540	2.57056961
495.55	0.00082688	0.01470931	2.19789529
496.01	0.00107482	0.01122815	1.77916045
496.47	0.00105678	0.00790970	1.41588702
496.93	0.00062853	0.00717082	1.25647219
497.39	0.00033466	0.00748595	1.19345403
497.85	0.00027179	0.00763588	1.16429276
498.30	0.00019047	0.00634762	1.11328480
498.76	0.00016374	0.00477268	1.00718773
499.22	0.00032193	0.00324067	0.74244692
499.68	0.00049426	0.00197371	0.33464860
500.14	0.00060703	0.00104884	-0.04925356
500.60	0.00069633	0.00031386	-0.18175876
501.06	0.00061967	0.00038434	-0.17911597
501.51	0.00057198	0.00200393	-0.13315982
501.97	0.00099757	0.00801574	-0.18943568
502.43	0.00164094	0.01383288	-0.23274645
502.89	0.00197493	0.01580096	-0.21527762
503.35	0.00202074	0.01150206	-0.10483945
503.80	0.00192870	0.00656617	-0.03818725
504.26	0.00173046	0.00599415	-0.24289645
504.72	0.00155835	0.00909365	-0.62037033
505.18	0.00146939	0.01201275	-0.90111351
505.64	0.00129223	0.00967889	-0.56563041
506.09	0.00096673	0.00567169	-0.04950332
506.55	0.00062033	0.00273518	0.31520132
507.01	0.00028491	0.00586072	-0.10143427
507.47	0.00003290	0.00994336	-0.67737453
507.93	0.00003094	0.01262773	-1.17632586
508.38	0.00022690	0.01160585	-1.34051006
508.84	0.00028389	0.00996919	-1.40335966
509.30	0.00009658	0.00934794	-1.42643197
509.76	0.00003254	0.01020528	-1.42538564
510.22	0.00031726	0.01133200	-1.37584005
510.67	0.00086227	0.01144901	-1.23681281
511.13	0.00152585	0.01132702	-1.04935256
511.59	0.00202162	0.01230352	-0.89454679
512.05	0.00214653	0.01831477	-0.87496718
512.50	0.00213147	0.02528585	-0.94377112
512.96	0.00214341	0.03008978	-1.07267048
513.42	0.00192694	0.02456849	-1.32517382
513.88	0.00139603	0.01679548	-1.56068793
514.33	0.00081739	0.01021526	-1.68158813
